slug;name;website;ror_id;comment
activinsights-ltd;Activinsights Ltd;https://www.activinsights.com;;company
agh-university-of-science-and-technology;AGH University of Science and Technology;;https://ror.org/00bas1c41;
alfred-wegener-institute;Alfred Wegener Institute;https://www.awi.de/en.html;https://ror.org/032e6b942;
amsterdam-university-medical-centers-location-vu;"Amsterdam University Medical Centers, location VU";;https://ror.org/00q6h8f30;
astron;ASTRON;http://www.astron.nl/;https://ror.org/000k1q888;
atacama-large-millimetersubmillimeter-array;Atacama Large Millimeter/Submillimeter Array;;https://ror.org/01adx8c71;
averis-seeds;Averis Seeds;;https://ror.org/011v4dm73;
barcelona-supercomputing-center;Barcelona Supercomputing Center;https://www.bsc.es/;https://ror.org/05sd8tv96;
basf;BASF;;https://ror.org/00sgajx84;
bejo;Bejo;;https://ror.org/046v1a544;
blue-action;Blue Action;https://blue-action.eu/;;project
bmw-group;BMW Group;;https://ror.org/044kkbh92;
cbs-knaw-fungal-biodiversity-centre;CBS-KNAW Fungal Biodiversity Centre;http://www.cbs.knaw.nl/;https://ror.org/030a5r161;
centre-national-de-recherches-meteorologiques;Centre National de Recherches Météorologiques;http://www.umr-cnrm.fr/?lang=fr;https://ror.org/004rej139;
cicero-center-for-international-climate-research;CICERO Center for International Climate Research;;https://ror.org/01gw5dy53;
city-university-of-london;City University of London;;https://ror.org/04489at23;
clariah;CLARIAH;https://www.clariah.nl;;project
clarin;CLARIN;https://www.clarin.eu/;;project
clearpeaks;ClearPeaks;https://www.clearpeaks.com;;company
cmcc;CMCC;https://www.cmcc.it/;https://ror.org/01tf11a61;
cmmc-cultivated-meat-modeling-consortium;CMMC - Cultivated Meat Modeling Consortium;https://thecmmc.org;;project
cnr-isac;CNR-ISAC;https://www.isac.cnr.it;https://ror.org/00n8ttd98;
cnrs;CNRS;;https://ror.org/02feahw73;
commit;COMMIT;http://www.commit-nl.nl/;https://ror.org/031m0hs53;
common-workflow-language;Common Workflow Language;https://www.commonwl.org;;project
cwi;CWI;http://www.cwi.nl/;https://ror.org/00x7ekv49;
data-archiving-and-networked-services-dans;Data Archiving and Networked Services (DANS);http://www.dans.knaw.nl;https://ror.org/008pnp284;
delft-university-of-technology;Delft University of Technology;http://tudelft.nl;https://ror.org/02e2c7k09;
deltares;Deltares;http://www.deltares.nl;https://ror.org/01deh9c76;
deutsches-zentrum-fur-luft-und-raumfahrt;Deutsches Zentrum für Luft- und Raumfahrt;;https://ror.org/04bwf3e34;
differ;DIFFER;https://www.differ.nl/;https://ror.org/03w5dn804;
dkrz;DKRZ;;https://ror.org/03ztgj037;
